State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Erath,2019,0.148,6200.0,,0.17,0.12,1.65,0.648,0.352,0.182,1590.0,0.7,0.31,2.89,16.29,3063000.0
TX,Falls,2019,0.191,3310.0,0.29,0.23,0.13,1.65,0.636,0.364,0.304,1120.0,0.58,0.42,2.66,14.97,1503000.0
TX,Fannin,2019,0.148,5100.0,0.27,0.16,0.1,1.65,0.513,0.487,0.192,1400.0,0.76,0.24,2.96,16.68,2581000.0
TX,Fayette,2019,0.133,3350.0,0.29,0.14,0.08,1.65,0.544,0.456,0.185,960.0,0.69,0.31,3.05,17.19,1747000.0
TX,Fisher,2019,0.156,600.0,,0.21,0.09,1.65,0.588,0.412,0.218,190.0,0.56,0.44,2.91,16.39,298000.0
TX,Floyd,2019,0.13,760.0,,0.18,0.07,1.65,0.784,0.216,0.192,300.0,0.86,0.14,3.08,17.38,401000.0
TX,Foard,2019,0.144,180.0,,,0.09,1.65,0.729,0.271,0.199,50.0,1.0,0.0,2.96,16.69,91000.0
TX,Fort Bend,2019,0.095,72370.0,0.13,0.13,0.05,1.65,0.451,0.549,0.143,30210.0,0.46,0.54,3.03,17.05,37426000.0
TX,Franklin,2019,0.141,1520.0,,0.15,0.1,1.65,0.474,0.526,0.215,560.0,0.68,0.32,2.8,15.81,729000.0
TX,Freestone,2019,0.174,3430.0,0.23,0.19,0.11,1.65,0.597,0.403,0.244,1100.0,0.62,0.38,2.85,16.06,1670000.0
TX,Frio,2019,0.151,3000.0,,0.2,0.15,1.65,0.633,0.367,0.24,1140.0,0.65,0.35,2.75,15.48,1409000.0
TX,Gaines,2019,0.131,2720.0,,0.16,0.1,1.65,0.627,0.373,0.169,1260.0,0.71,0.29,3.2,18.03,1488000.0
